Button,android.widget.Button,onClick(View v)
ToggleButton,android.widget.ToggleButton,
TextView,android.widget.TextView,
CheckBox,android.widget.CheckBox,
RadioButton,android.widget.RadioButton,
CheckedTextView,android.widget.CheckedTextView,
Spinner,android.widget.Spinner,
ProgressBar,android.widget.ProgressBar,
SeekBar,android.widget.SeekBar,
QuickContactBadge,android.widget.QuickContactBadge,
RatingBar,android.widget.RatingBar,
switch,android.widget.switch,
Space,android.widget.Space,
grid layout,,
FrameLayout,android.widget.FrameLayout,
LinearLayout,android.widget.LinearLayout,
RelativeLayout,android.widget.RelativeLayout,
TableLayout,android.widget.TableLayout,
TableRow,android.widget.TableRow,
RadioGroup,android.widget.RadioGroup,
ListView,android.widget.ListView,
ExpandableListView,android.widget.ExpandableListView,
ScrollView,android.widget.ScrollView,
HorizontalScrollView,android.widget.HorizontalScrollView,
TabHost,android.widget.TabHost,
WebView,android.webkit.WebView,
SearchView,android.widget.SearchView,
ImageButton,android.widget.ImageButton,
ImageView,android.widget.ImageView,
VideoView,android.widget.VideoView,
DatePicker,android.widget.DatePicker,
TimePicker,android.widget.TimePicker,
calenderview,,
TextClock,android.widget.TextClock,
